Symbol,Wavelength,Ionization Level,A (10^8 s^-1),gUpper,gLower,eUpper,eLower,Intensity (long),Intensity (short),,
Mo,407,1,0.1959,9,11,5.133,2.081,4.37E-07,3.64E-07,,
Mo,317.0343,1,1.37,7,7,3.91,0,4.36E-05,2.27E-05,,
Mo,319.3978,1,1.532,5,7,3.881,0,3.76E-05,1.92E-05,,
Sg,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Mn,279.482,1,3.7,8,6,4.435,0,6.15E-05,4.47E-05,,
Mn,279.827,1,3.6,6,6,4.429,0,4.55E-05,3.30E-05,,
Mn,280.106,1,3.7,4,6,4.425,0,3.15E-05,2.28E-05,,
Mn,403.07,1,0.17,8,6,3.075,0,9.91E-05,3.15E-05,,
Mn,403.1,1,0.17,8,6,3.075,0,9.91E-05,3.15E-05,,
Tc,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Re,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Bh,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Fe,373.486,1,0.901,11,11,4.178,0.859,1.31E-05,8.19E-06,,
Fe,371.9935,1,0.162,11,9,3.332,0,2.25E-05,8.06E-06,,
Fe,373.71,1,0.141,9,7,3.368,0.052,1.44E-05,5.34E-06,,
Fe,374.55,1,0.115,7,5,3.397,0.087,8.44E-06,3.20E-06,,
Fe,374.95,1,0.763,9,9,4.22,0.915,8.18E-06,5.21E-06,,
Fe,375.82,1,0.634,7,7,4.256,0.958,4.84E-06,3.14E-06,,
Fe,238.2,2,3.13,12,10,5.203,0,1.90E-05,1.64E-05,,
Ru,349.88,1,0.861,13,11,3.542,0,6.57E-05,2.51E-05,,
Os ,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Hs,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Co,238.6,2,2.1,5,7,5.759,0.565,2.24E-06,2.05E-06,,
Co,241.1619,1,3.884,10,8,5.241,0.101,4.98E-06,4.28E-06,,
Co,242.493,1,3.2,10,10,5.111,0,5.42E-06,4.55E-06,,
Co,345.35,1,1.1,12,10,4.021,0.432,2.87E-05,1.63E-05,,
Co,350.228,1,0.8,8,10,3.971,0.432,1.58E-05,8.73E-06,,
Co,351.835,1,1.6,4,6,4.572,1.049,3.63E-06,2.64E-06,,
Co,356.938,1,1.5,8,8,4.395,0.923,1.03E-05,7.02E-06,,
Co,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Co,486.7872,1,0.3945,12,14,5.663,3.117,2.51E-07,2.28E-07,,
Co,348.5364,1,2.015,16,14,6.674,3.117,2.26E-07,2.19E-07,,
Co,366.2151,1,0.6986,6,4,5.665,2.28,2.21E-07,2.01E-07,,
Rh,339.682,1,0.65,10,10,3.649,0,4.44E-05,,,
Rh,343.49,1,1.327,12,10,3.609,0,1.22E-04,5.18E-05,,
Ir,253.3132,1,2.369,4,6,6.118,1.225,6.71E-07,6.31E-07,,
Ir,283.9162,1,1.437,10,8,5.989,1.623,1.32E-06,1.23E-06,,
Mt,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Ni,341.4,1,0.55,9,7,3.655,0.025,3.74E-05,1.85E-05,,
Ni,352.454,1,1,5,7,3.542,0.025,5.12E-05,2.34E-05,,
Ni,361.9,1,0.66,7,5,3.847,0.423,2.11E-05,1.17E-05,,
Ni,349.296,1,0.98,3,5,3.658,0.109,2.21E-05,1.09E-05,,
Ni,231.0958,1,3.648,9,9,5.364,0,4.66E-06,4.16E-06,,
Ni,236.0632,1,2.51,7,5,5.526,0.275,1.78E-06,1.62E-06,,
Pd,340.46,1,1.34,9,7,4.454,0.814,1.30E-04,7.88E-05,,
Pd,355.308,1,2.616,7,5,4.942,1.453,6.11E-05,4.53E-05,,
Pd,363.469,1,1.242,5,7,4.224,0.814,1.20E-04,6.43E-05,,
Pd,348.115,1,2.246,5,3,4.812,1.252,5.07E-05,3.60E-05,,
Pt,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Pt,530.1013,1,1.213,11,13,6.899,4.561,2.87E-07,2.81E-07,,
Pt,306.4711,1,0.6488,5,7,4.045,0,2.94E-05,1.81E-05,,
Ds,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Cu,324.7537,1,1.37,4,2,3.817,0,3.99E-04,2.13E-04,,
Cu,327.4,1,1.361,2,2,3.786,0,2.15E-04,1.13E-04,,
Cu,510.5537,1,0.01949,4,6,3.817,1.389,5.67E-06,3.03E-06,,
Ag,328.068,1,1.4,4,2,3.778,0,4.38E-04,2.49E-04,,
Ag,338.28,1,1.3,2,2,3.664,0,2.73E-04,1.45E-04,,
Ag,520.91,1,0.75,4,2,6.043,3.664,1.64E-06,1.56E-06,,
Ag,546.55,1,0.86,6,4,6.046,3.778,2.80E-06,2.67E-06,,
Au,267.6,1,1.64,2,2,4.632,0,6.93E-05,5.28E-05,,
Au,242.8,1,1.99,4,2,5.105,0,5.92E-05,5.04E-05,,
Au,274.8,1,0.4816,8,6,5.646,1.136,9.23E-06,8.46E-06,,
Au,302.9205,1,0.08,6,6,5.228,1.136,2.75E-06,2.39E-06,,
Au,312.278,1,0.19,4,6,5.105,1.136,5.65E-06,4.81E-06,,
Au,479.2582,1,0.8904,6,4,7.692,5.105,2.30E-07,2.27E-07,,
Rg ,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Zn,334.502,1,1.5,7,5,7.784,4.078,7.09E-07,7.04E-07,,
Zn,213.9,1,7.039,3,1,5.796,0,6.84E-05,6.43E-05,,
Zn,330.3,1,1.072,5,3,7.783,4.03,3.63E-07,3.60E-07,,
Zn,328.2328,1,0.8657,3,1,7.783,4.006,1.76E-07,1.74E-07,,
Zn,481.1,1,0.7004,3,5,6.655,4.078,1.25E-06,1.22E-06,,
Zn,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Cd,228.80225,1,5.3,3,1,5.417,0,8.44E-05,7.69E-05,,
Cd,226.5019,2,2.97,2,2,5.473,0,3.21E-05,2.94E-05,,
Cd,214.4393,2,2.826,4,2,5.78,0,3.27E-05,3.07E-05,,
Cd,326.10548,1,0.00406,3,1,3.801,0,2.48E-06,1.43E-06,,
Cd,361.05077,1,1.3,7,5,7.379,3.946,1.01E-06,1.00E-06,,
Cd,340.4,1,0.77,3,1,7.375,3.734,2.59E-07,2.56E-07,,
Cd,346.76547,1,0.67,3,3,7.375,3.801,2.26E-07,2.23E-07,,
Cd,479.99123,1,0.41,3,3,6.383,3.801,9.44E-07,9.14E-07,,
Cd,508.58217,1,0.56,3,5,6.383,3.946,1.29E-06,1.25E-06,,
Hg,253.6521,1,0.08,3,1,4.886,0,8.62E-06,7.28E-06,,
Hg,365.0158,1,1.3,7,5,8.856,5.461,1.36E-07,1.35E-07,,
Hg,435.8335,1,0.557,3,3,7.73,4.886,2.11E-07,2.09E-07,,
Cn,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
B,249.77224,1,1.68,2,4,4.964,0.002,1.45E-05,1.24E-05,,
B,249.67687,1,0.84,2,2,4.964,0,7.26E-06,6.22E-06,,
B,158.734,1,0.28,2,2,11.363,3.552,1.08E-11,1.08E-11,,
