# Wavelengths	Intensities
 252.00812	1427.43422
 252.22241	1411.05047
 252.43668	1507.30500
 252.65095	1406.95453
 252.86520	1456.10578
 253.07945	1478.63344
 253.29369	1409.00250
 253.50791	1427.43422
 253.72213	1443.81797
 253.93634	1388.52281
 254.15054	1417.19438
 254.36472	1437.67406
 254.57890	1452.00984
 254.79307	1441.77000
 255.00723	1431.53016
 255.22138	1386.47484
 255.43551	1464.29766
 255.64964	1431.53016
 255.86376	1470.44156
 256.07787	1419.24234
 256.29197	1400.81063
 256.50606	1333.22766
 256.72014	1480.68141
 256.93421	1370.09109
 257.14827	1443.81797
 257.36232	1454.05781
 257.57637	1398.76266
 257.79040	1449.96187
 258.00442	1421.29031
 258.21843	1417.19438
 258.43243	1427.43422
 258.64642	1415.14641
 258.86041	1433.57812
 259.07438	1425.38625
 259.28834	1423.33828
 259.50229	1374.18703
 259.71624	1462.24969
 259.93017	1499.11313
 260.14409	1411.05047
 260.35801	1443.81797
 260.57191	1464.29766
 260.78580	1449.96187
 260.99969	1464.29766
 261.21356	1452.00984
 261.42743	1404.90656
 261.64128	1419.24234
 261.85512	1439.72203
 262.06896	1454.05781
 262.28278	1495.01719
 262.49660	1361.89922
 262.71040	1431.53016
 262.92420	1445.86594
 263.13799	1503.20906
 263.35176	1378.28297
 263.56553	1441.77000
 263.77928	1421.29031
 263.99303	1423.33828
 264.20677	1419.24234
 264.42049	1441.77000
 264.63421	1476.58547
 264.84791	1458.15375
 265.06161	1433.57812
 265.27530	1372.13906
 265.48897	1347.56344
 265.70264	1404.90656
 265.91630	1443.81797
 266.12995	1431.53016
 266.34358	1386.47484
 266.55721	1478.63344
 266.77083	1429.48219
 266.98444	1361.89922
 267.19803	1398.76266
 267.41162	1400.81063
 267.62520	1382.37891
 267.83877	1445.86594
 268.05232	1400.81063
 268.26587	1429.48219
 268.47941	1402.85859
 268.69294	1386.47484
 268.90646	1394.66672
 269.11997	1439.72203
 269.33346	1419.24234
 269.54695	1431.53016
 269.76043	1525.73672
 269.97390	1486.82531
 270.18736	1425.38625
 270.40081	1462.24969
 270.61425	1413.09844
 270.82767	1462.24969
 271.04109	1402.85859
 271.25450	1474.53750
 271.46790	1402.85859
 271.68129	1501.16109
 271.89467	1427.43422
 272.10804	1355.75531
 272.32140	1359.85125
 272.53475	1398.76266
 272.74809	1384.42688
 272.96142	1392.61875
 273.17473	1445.86594
 273.38804	1413.09844
 273.60134	1374.18703
 273.81463	1413.09844
 274.02791	1476.58547
 274.24118	1470.44156
 274.45444	1447.91391
 274.66769	1437.67406
 274.88093	1421.29031
 275.09416	1392.61875
 275.30738	1372.13906
 275.52059	1492.96922
 275.73379	1466.34562
 275.94697	1431.53016
 276.16015	1449.96187
 276.37332	1431.53016
 276.58648	1400.81063
 276.79963	1402.85859
