Symbol,Wavelength,Ionization Level,A (10^8 s^-1),gUpper,gLower,eUpper,eLower,Intensity (long),Intensity (short)
Li,374.663,1,0.00676,2,4,5.156,1.848,3.32E-09,2.90E-09
Li,383.559,1,0.00518,2,2,5.079,1.848,3.00E-09,2.58E-09
Li,239.439,1,0.002664,4,2,5.177,0,2.51E-09,2.20E-09
Li,367.174,1,0.002797,4,4,5.224,1.848,2.38E-09,2.10E-09
Li,968.62,1,0.00204,4,4,5.114,3.834,2.19E-09,1.90E-09
Li,242.543,1,0.003822,2,2,5.11,0,2.07E-09,1.79E-09
Li,937.68,1,0.0037,2,4,5.156,3.834,1.82E-09,1.59E-09
Li,235.893,1,0.00209,4,2,5.254,0,1.67E-09,1.48E-09
Li,995.49,1,0.00287,2,2,5.079,3.834,1.66E-09,1.43E-09
Li,374.658,1,0.00337,2,2,5.156,1.848,1.66E-09,1.45E-09
Li,237.354,1,0.001918,4,2,5.222,0,1.64E-09,1.45E-09
Li,921.75,1,0.00135,4,4,5.179,3.834,1.26E-09,1.11E-09
Li,234.822,1,0.00165,4,2,5.278,0,1.26E-09,1.12E-09
Li,239.439,1,0.002664,2,2,5.177,0,1.25E-09,1.10E-09
Li,234.015,1,0.00134,4,2,5.296,0,9.81E-10,8.74E-10
Li,937.68,1,0.00184,2,2,5.156,3.834,9.04E-10,7.90E-10
Li,235.893,1,0.00209,2,2,5.254,0,8.35E-10,7.40E-10
Li,237.354,1,0.001917,2,2,5.222,0,8.20E-10,7.23E-10
Li,892.1136,1,0.0009289,4,4,5.224,3.835,7.91E-10,6.98E-10
Li,846.548,1,0.000404,4,2,4.837,3.373,7.88E-10,6.49E-10
Li,233.394,1,0.00109,4,2,5.311,0,7.75E-10,6.91E-10
Li,953.0745,1,0.0005123,6,6,5.179,3.879,7.19E-10,6.30E-10
Li,234.822,1,0.00165,2,2,5.278,0,6.28E-10,5.58E-10
Li,758.245,1,0.000438,4,2,5.008,3.373,5.90E-10,5.03E-10
Li,758.2168,1,0.000419,4,2,5.008,3.373,5.64E-10,4.81E-10
Li,234.015,1,0.00134,2,2,5.296,0,4.90E-10,4.37E-10
Li,921.4629,1,0.0003426,6,6,5.224,3.879,4.38E-10,3.86E-10
Li,846.548,1,0.000404,2,2,4.837,3.373,3.94E-10,3.24E-10
Li,713.517,1,0.000361,4,2,5.11,3.373,3.91E-10,3.39E-10
Li,233.394,1,0.00109,2,2,5.311,0,3.87E-10,3.46E-10
Li,954.984,1,0.000411,4,6,5.177,3.879,3.87E-10,3.39E-10
Li,758.245,1,0.000437,2,2,5.008,3.373,2.94E-10,2.51E-10
Li,758.2168,1,0.00042,2,2,5.008,3.373,2.83E-10,2.41E-10
Li,687.308,1,0.000279,4,2,5.177,3.373,2.63E-10,2.30E-10
Li,922.6671,1,0.0002869,4,6,5.222,3.879,2.45E-10,2.16E-10
Li,954.98,1,0.000457,2,4,5.177,3.879,2.15E-10,1.88E-10
Li,713.517,1,0.000359,2,2,5.11,3.373,1.94E-10,1.69E-10
