Symbol,Wavelength,Ionization Level,A (10^8 s^-1),gUpper,gLower,eUpper,eLower,Intensity (long),Intensity (short)
Nd,419.5653,1,0.7946,6,8,4.049,1.094,1.86E-06,1.01E-06
Nd,337.2568,2,0.2653,9,11,5.029,1.354,1.86E-06,1.48E-06
Nd,381.1031,1,0.09197,6,4,3.272,0.019,1.85E-06,5.62E-07
Nd,387.935,2,0.2643,9,9,5.029,1.834,1.85E-06,1.48E-06
Nd,442.0628,1,0.03898,4,6,2.853,0.049,1.85E-06,3.73E-07
Nd,434.5308,1,0.03853,4,2,2.853,0,1.83E-06,3.69E-07
Ta,301.2552,2,16.48,5,3,4.776,0.661,2.06E-04,1.48E-04
Ta,268.519,2,40.63,3,1,5.128,0.511,1.36E-04,1.09E-04
Ta,263.5583,2,6.871,7,5,4.831,0.128,1.05E-04,7.73E-05
Ta,240.0637,2,39.74,13,11,5.931,0.767,1.05E-04,9.55E-05
Ta,296.5149,2,1.552,5,3,4.18,0,8.36E-05,4.56E-05
Ta,267.59,2,7.668,9,9,5.18,0.548,6.88E-05,5.57E-05
Ta,279.7761,2,2.214,7,5,4.558,0.128,6.48E-05,4.28E-05
Ta,260.35,2,10.5,11,11,5.528,0.767,5.42E-05,4.69E-05
Ta,238.709,2,16.1,11,9,5.74,0.548,5.32E-05,4.75E-05
Ta,248.8707,2,8.522,11,9,5.528,0.548,4.40E-05,3.81E-05
Ta,253.2125,2,5.28,9,7,5.223,0.328,4.31E-05,3.52E-05
Ta,269.4516,2,2.622,9,7,4.928,0.328,4.14E-05,3.13E-05
Ta,276.1662,2,2.201,5,5,4.616,0.128,4.00E-05,2.71E-05
Ta,275.2486,2,2.451,7,7,4.831,0.328,3.76E-05,2.76E-05
Ta,259.3678,2,7.095,7,9,5.327,0.548,3.59E-05,3.00E-05
Ta,383.3734,2,0.1405,5,5,3.628,0.394,3.39E-05,1.26E-05
Ta,255.462,2,3.758,9,7,5.18,0.328,3.37E-05,2.73E-05
Ta,304.2064,2,2.821,3,1,4.586,0.511,3.31E-05,2.21E-05
Ta,243.2702,2,14.7,9,11,5.862,0.767,3.08E-05,2.79E-05
Ta,270.9266,2,12.41,9,9,5.784,1.208,3.06E-05,2.75E-05
Ta,257.1546,2,19.34,3,3,5.481,0.661,3.01E-05,2.59E-05
Ta,247.0898,2,12.13,9,11,5.784,0.767,2.99E-05,2.69E-05
Ta,327.4906,2,0.9044,3,5,4.179,0.394,2.93E-05,1.60E-05
Ta,284.4459,2,1.14,5,5,4.486,0.128,2.85E-05,1.82E-05
Ta,259.4254,2,3.538,3,3,4.778,0,2.63E-05,1.90E-05
Ta,259.6446,2,4.427,5,7,5.102,0.328,2.62E-05,2.08E-05
Ta,268.005,2,4.926,7,5,5.327,0.702,2.49E-05,2.08E-05
Ta,265.123,2,2.97,9,9,5.223,0.548,2.42E-05,1.98E-05
Ta,321.3906,2,0.8217,7,5,4.558,0.702,2.41E-05,1.59E-05
Ta,281.7101,2,4.03,5,5,5.102,0.702,2.39E-05,1.90E-05
Ta,340.6666,2,0.8918,5,7,4.486,0.847,2.23E-05,1.42E-05
Ta,285.8426,2,4.618,3,3,4.997,0.661,2.08E-05,1.60E-05
Ta,357.3407,2,1.269,9,7,4.928,1.459,2.00E-05,1.52E-05
Ta,266.56,2,2.662,3,5,4.778,0.128,1.98E-05,1.43E-05
Ta,268.0656,2,1.762,11,9,5.172,0.548,1.97E-05,1.59E-05
Ta,242.9695,2,3.264,5,3,5.102,0,1.93E-05,1.54E-05
Ta,337.9507,2,0.5876,3,1,4.179,0.511,1.90E-05,1.04E-05
Ta,273.9262,2,4.165,5,5,5.227,0.702,1.87E-05,1.53E-05
Ta,354.1882,2,0.07699,5,5,3.628,0.128,1.86E-05,6.89E-06
Ta,341.4128,2,0.3918,9,7,4.478,0.847,1.80E-05,1.14E-05
Ta,312.7737,2,1.592,11,9,5.172,1.208,1.78E-05,1.44E-05
Ta,254.5487,2,3.848,3,5,4.997,0.128,1.73E-05,1.34E-05
Ta,236.4261,2,11.02,9,11,6.01,0.767,1.71E-05,1.57E-05
Ta,334.9197,2,4.885,7,7,5.509,1.808,1.67E-05,1.44E-05
Ta,290.525,2,2.241,3,5,4.778,0.511,1.67E-05,1.20E-05
Ta,333.9902,2,0.564,7,7,4.558,0.847,1.65E-05,1.09E-05
Ta,241.6889,2,3.185,9,7,5.456,0.328,1.57E-05,1.34E-05
Ta,324.0942,2,0.6075,5,3,4.486,0.661,1.52E-05,9.70E-06
Ta,247.6681,2,3.319,7,5,5.399,0.394,1.44E-05,1.22E-05
Ta,278.4964,2,1.902,7,5,5.152,0.702,1.41E-05,1.13E-05
Ta,238.1148,2,3.358,9,7,5.533,0.328,1.40E-05,1.22E-05
Ta,255.7706,2,28.91,3,5,6.048,1.202,1.38E-05,1.28E-05
Ta,264.6735,2,15.25,7,5,6.156,1.472,1.37E-05,1.27E-05
Ta,305.7232,2,6.441,9,7,5.862,1.808,1.35E-05,1.22E-05
Ta,279.1368,2,2.154,5,3,5.102,0.661,1.28E-05,1.01E-05
Ta,734.64,1,0.01023,4,2,2.437,0.75,1.28E-05,1.34E-06
Ta,304.2436,2,3.042,9,7,5.533,1.459,1.27E-05,1.10E-05
Ta,298.6816,2,0.2687,9,7,4.478,0.328,1.23E-05,7.85E-06
Ta,253.795,2,16.44,5,5,6.086,1.202,1.21E-05,1.12E-05
Ta,303.7488,2,0.7667,9,7,4.928,0.847,1.21E-05,9.16E-06
Ta,301.0768,2,1.62,3,3,4.778,0.661,1.21E-05,8.68E-06
Ta,344.0312,2,6.51,3,5,5.4,1.797,1.20E-05,1.02E-05
Ta,277.5082,2,3.55,3,3,5.128,0.661,1.19E-05,9.52E-06
Ta,295.6833,2,12.8,7,7,6.142,1.95,1.18E-05,1.10E-05
Ta,241.5205,2,12.85,5,7,5.979,0.847,1.18E-05,1.08E-05
Ta,228.9164,2,8.821,5,5,5.809,0.394,1.15E-05,1.03E-05
Ta,233.2185,2,5.298,9,9,5.862,0.548,1.11E-05,1.01E-05
Ta,265.8848,2,3.231,7,7,5.509,0.847,1.11E-05,9.54E-06
Ta,270.2799,2,0.94,3,3,4.586,0,1.10E-05,7.37E-06
Ta,264.5086,2,2.599,9,7,5.533,0.847,1.09E-05,9.41E-06
Ta,322.9879,2,5.709,5,5,5.635,1.797,1.07E-05,9.41E-06
Ta,255.6515,2,21.81,1,3,5.51,0.661,1.06E-05,9.19E-06
Ta,252.6024,2,8.951,3,5,5.609,0.702,1.06E-05,9.32E-06
Ta,255.1733,2,3.428,7,5,5.559,0.702,1.05E-05,9.18E-06
Ta,327.5682,2,0.421,5,5,4.486,0.702,1.05E-05,6.72E-06
Ta,276.3363,2,0.4188,5,3,4.486,0,1.05E-05,6.69E-06
Ta,273.5262,2,3.151,11,9,5.74,1.208,1.04E-05,9.30E-06
Ta,295.2999,2,2.389,7,5,5.399,1.202,1.03E-05,8.76E-06
Ta,540.2525,1,0.01042,2,4,2.294,0,1.03E-05,9.18E-07
Ta,296.5923,2,0.318,3,3,4.179,0,1.03E-05,5.62E-06
Ta,259.5578,2,0.825,5,3,4.776,0,1.03E-05,7.40E-06
Ta,256.9121,2,1.378,7,7,5.152,0.328,1.02E-05,8.21E-06
Ta,287.7689,2,2.956,7,5,5.509,1.202,1.01E-05,8.73E-06
Ta,250.199,2,11.28,7,5,6.156,1.202,1.01E-05,9.41E-06
Ta,246.7372,2,10.77,3,5,5.725,0.702,1.00E-05,8.92E-06
Ta,344.6851,2,0.8864,11,9,5.172,1.575,9.89E-06,7.99E-06
Ta,278.0329,2,0.829,3,5,4.586,0.128,9.72E-06,6.50E-06
Ta,258.4517,2,46.99,3,3,6.467,1.671,9.65E-06,9.18E-06
Ta,281.4312,2,0.8585,11,11,5.172,0.767,9.58E-06,7.74E-06
Ta,261.2612,2,0.6833,7,5,4.872,0.128,9.53E-06,7.08E-06
Ta,297.6234,2,2.852,11,9,5.74,1.575,9.42E-06,8.42E-06
Ta,417.6861,2,0.5459,7,3,4.781,1.814,9.40E-06,6.78E-06
Ta,268.9262,2,1.907,9,7,5.456,0.847,9.38E-06,8.03E-06
Ta,226.2302,2,5.125,7,7,5.807,0.328,9.38E-06,8.45E-06
Ta,227.26,2,5.568,7,5,5.849,0.394,9.34E-06,8.46E-06
Ta,267.2505,2,2.637,5,5,5.34,0.702,9.26E-06,7.76E-06
Ta,242.3486,2,2.691,7,5,5.509,0.394,9.20E-06,7.95E-06
Ta,223.9517,2,4.358,9,7,5.862,0.328,9.14E-06,8.28E-06
Ta,310.1026,2,1.848,9,7,5.456,1.459,9.09E-06,7.78E-06
Ta,315.7951,2,0.7726,3,3,4.586,0.661,9.06E-06,6.06E-06
Ta,246.6985,2,1.215,7,5,5.152,0.128,9.00E-06,7.24E-06
Ta,313.389,2,0.4929,5,3,4.616,0.661,8.96E-06,6.07E-06
Ta,237.077,2,6.295,7,5,5.93,0.702,8.93E-06,8.16E-06
Ta,255.4904,2,2.061,7,9,5.399,0.548,8.91E-06,7.55E-06
Ta,247.3311,2,2.899,7,9,5.559,0.548,8.91E-06,7.76E-06
Ta,316.8179,2,4.246,9,7,5.862,1.95,8.90E-06,8.07E-06
Ta,287.7044,2,9.705,5,3,5.979,1.671,8.89E-06,8.16E-06
Ta,274.6818,2,18.24,7,7,6.463,1.95,8.82E-06,8.39E-06
Ta,225.0769,2,4.68,5,5,5.635,0.128,8.75E-06,7.71E-06
Ta,282.7489,2,8.069,9,7,6.192,1.808,8.64E-06,8.07E-06
Ta,228.5276,2,5.848,5,7,5.752,0.328,8.57E-06,7.67E-06
Ta,305.6603,2,7.928,9,9,6.192,2.137,8.49E-06,7.93E-06
Ta,366.2331,2,0.7232,3,5,4.586,1.202,8.48E-06,5.67E-06
Ta,341.7021,2,0.03448,5,3,3.628,0,8.33E-06,3.09E-06
Ta,297.8219,2,17.02,7,7,6.463,2.301,8.23E-06,7.83E-06
Ta,246.382,2,29.63,5,7,6.573,1.542,8.22E-06,7.86E-06
Ta,288.5417,2,1.804,3,5,4.997,0.702,8.10E-06,6.26E-06
Ta,291.8967,2,10.94,9,9,6.383,2.137,7.97E-06,7.55E-06
Ta,481.2754,1,0.009932,4,4,2.576,0,7.94E-06,9.76E-07
Ta,243.3586,2,3.107,5,5,5.488,0.394,7.94E-06,6.83E-06
Ta,392.2438,2,0.06632,7,7,4.007,0.847,7.88E-06,3.86E-06
Ta,300.4918,2,1.524,7,5,5.327,1.202,7.71E-06,6.44E-06
Ta,423.5946,2,4.963,9,7,6.01,3.084,7.69E-06,7.07E-06
Ta,263.8672,2,1.762,7,5,5.399,0.702,7.62E-06,6.46E-06
Ta,265.9406,2,0.9893,5,7,4.989,0.328,7.56E-06,5.82E-06
Ta,238.4303,2,1.493,7,5,5.327,0.128,7.55E-06,6.31E-06
Ta,299.9377,2,5.305,7,5,5.93,1.797,7.53E-06,6.87E-06
Ta,243.8636,2,5.302,7,7,5.93,0.847,7.52E-06,6.87E-06
Ta,250.5314,2,6.295,3,3,5.609,0.661,7.47E-06,6.55E-06
Ta,289.0288,2,0.4102,5,7,4.616,0.328,7.46E-06,5.05E-06
Ta,286.7423,2,9.884,13,13,6.553,2.23,7.42E-06,7.09E-06
Ta,369.4501,2,0.9855,7,5,5.152,1.797,7.30E-06,5.87E-06
Ta,251.31,2,1.44,7,5,5.327,0.394,7.28E-06,6.09E-06
Ta,283.8236,2,11.55,7,9,6.333,1.965,7.24E-06,6.83E-06
Ta,227.1847,2,2.93,9,7,5.784,0.328,7.23E-06,6.50E-06
Ta,313.7434,2,0.9674,7,5,5.152,1.202,7.17E-06,5.77E-06
Ta,285.6703,2,11.09,3,1,5.902,1.562,7.15E-06,6.51E-06
Ta,314.2939,2,0.9641,7,9,5.152,1.208,7.14E-06,5.75E-06
Ta,250.8921,2,7.759,7,5,6.142,1.202,7.14E-06,6.65E-06
Ta,308.7751,2,0.8717,9,9,5.223,1.208,7.11E-06,5.81E-06
Ta,244.4116,2,1.631,7,7,5.399,0.328,7.05E-06,5.98E-06
Ta,263.0525,2,2.284,7,7,5.559,0.847,7.02E-06,6.11E-06
Ta,248.1854,2,33.67,3,5,6.467,1.472,6.92E-06,6.58E-06
Ta,258.9812,2,2.681,5,5,5.488,0.702,6.85E-06,5.90E-06
Ta,457.4315,1,0.01292,4,4,2.71,0,6.73E-06,9.62E-07
Ta,275.0399,2,7.347,5,5,5.979,1.472,6.73E-06,6.18E-06
Ta,287.9082,2,0.8918,7,7,5.152,0.847,6.61E-06,5.31E-06
Ta,226.1424,2,4.246,3,3,5.481,0,6.60E-06,5.68E-06
Ta,249.8335,2,1.921,7,9,5.509,0.548,6.57E-06,5.67E-06
Ta,275.7257,2,6.135,7,9,6.071,1.575,6.53E-06,6.04E-06
Ta,468.1875,1,0.015,6,6,2.897,0.249,6.51E-06,1.14E-06
Ta,290.0765,2,3.835,7,9,5.849,1.575,6.44E-06,5.83E-06
Ta,283.2702,2,0.7856,9,7,5.223,0.847,6.41E-06,5.24E-06
Ta,230.2928,2,4.51,7,9,5.93,0.548,6.40E-06,5.84E-06
Ta,275.9058,2,1.792,5,7,5.34,0.847,6.29E-06,5.27E-06
Ta,735.6937,1,0.004994,4,4,2.437,0.753,6.23E-06,6.54E-07
Ta,260.0734,2,1.477,9,11,5.533,0.767,6.17E-06,5.35E-06
Ta,231.545,2,3.958,3,5,5.481,0.128,6.15E-06,5.29E-06
Ta,230.2239,2,8.329,5,5,6.086,0.702,6.14E-06,5.69E-06
Ta,231.2613,2,2.381,5,5,5.488,0.128,6.08E-06,5.24E-06
Ta,240.8268,2,3.592,7,5,5.849,0.702,6.03E-06,5.46E-06
Ta,286.5313,2,12.43,7,9,6.463,2.137,6.01E-06,5.72E-06
Ta,221.0042,2,4.988,3,3,5.609,0,5.92E-06,5.19E-06
Ta,219.9686,2,3.163,5,3,5.635,0,5.92E-06,5.21E-06
Ta,238.3741,2,9.167,3,5,5.902,0.702,5.91E-06,5.38E-06
Ta,566.4895,1,0.004736,4,6,2.437,0.249,5.90E-06,6.20E-07
Ta,802.6503,1,0.005805,2,2,2.294,0.75,5.75E-06,5.12E-07
Ta,286.0883,2,0.6407,9,7,5.18,0.847,5.75E-06,4.65E-06
Ta,247.9577,2,1.122,7,7,5.327,0.328,5.68E-06,4.74E-06
Ta,240.2137,2,2.206,5,7,5.488,0.328,5.64E-06,4.85E-06
Ta,248.4743,2,0.7317,5,3,4.989,0,5.59E-06,4.30E-06
Ta,219.6056,2,5.204,9,9,6.192,0.548,5.57E-06,5.20E-06
Ta,278.6767,2,0.4413,5,7,4.776,0.328,5.50E-06,3.96E-06
Ta,243.6506,2,15.32,7,7,6.629,1.542,5.32E-06,5.10E-06
Ta,648.5312,1,0.05496,10,10,3.567,1.655,5.27E-06,1.77E-06
Ta,521.2734,1,0.002299,6,4,2.378,0,5.21E-06,5.11E-07
Ta,257.8241,2,7.03,9,9,6.383,1.575,5.12E-06,4.85E-06
Ta,279.5199,2,3.287,9,9,6.01,1.575,5.09E-06,4.69E-06
Ta,267.6483,2,26.23,1,3,5.96,1.328,5.00E-06,4.58E-06
Ta,243.1055,2,1.105,5,5,5.227,0.128,4.97E-06,4.06E-06
Ta,277.8811,2,5.261,7,5,6.142,1.681,4.84E-06,4.51E-06
Ta,237.8329,2,1.356,5,5,5.34,0.128,4.76E-06,3.99E-06
Ta,279.3856,2,0.3065,7,5,4.831,0.394,4.70E-06,3.45E-06
Ta,271.467,1,1.17,6,4,4.566,0,4.69E-06,3.02E-06
Ta,242.5919,2,19.73,5,7,6.652,1.542,4.68E-06,4.49E-06
Ta,238.9112,2,11.71,5,5,6.39,1.202,4.68E-06,4.43E-06
Ta,276.8056,2,0.3345,7,5,4.872,0.394,4.67E-06,3.47E-06
Ta,284.3506,2,10.04,9,11,6.614,2.255,4.62E-06,4.42E-06
Ta,269.1815,2,0.6147,7,9,5.152,0.548,4.56E-06,3.66E-06
Ta,263.9167,2,5.08,7,7,6.156,1.459,4.55E-06,4.24E-06
Ta,315.6749,2,1.048,7,5,5.399,1.472,4.53E-06,3.84E-06
Ta,315.523,2,0.3604,5,7,4.776,0.847,4.49E-06,3.23E-06
Ta,281.9138,2,4.748,3,3,5.725,1.328,4.41E-06,3.93E-06
Ta,265.3272,1,2.559,6,6,4.921,0.249,4.41E-06,3.26E-06
Ta,235.3869,2,21.39,1,3,5.927,0.661,4.36E-06,3.98E-06
Ta,251.3883,2,10.82,5,7,6.39,1.459,4.32E-06,4.09E-06
Ta,304.0727,2,0.5765,3,5,4.778,0.702,4.29E-06,3.09E-06
Ta,236.9341,2,1.379,7,7,5.559,0.328,4.24E-06,3.69E-06
Ta,269.5503,2,20.54,1,3,5.927,1.328,4.19E-06,3.83E-06
Ta,264.747,1,2.071,4,4,4.682,0,4.18E-06,2.83E-06
Cr,425.435,1,0.315,9,7,2.913,0,1.69E-04,3.80E-05
Cr,357.869,1,1.48,9,7,3.464,0,1.57E-04,5.83E-05
Cr,427.48,1,0.307,7,7,2.9,0,1.33E-04,2.97E-05
Cr,359.349,1,1.5,7,7,3.449,0,1.29E-04,4.73E-05
Cr,360.533,1,1.62,5,7,3.438,0,1.02E-04,3.73E-05
Cr,428.972,1,0.316,5,7,2.889,0,1.01E-04,2.23E-05
Cr,520.844,1,0.506,7,5,3.321,0.941,6.26E-05,2.07E-05
Cr,520.604,1,0.514,5,5,3.322,0.941,4.53E-05,1.50E-05
Cr,520.452,1,0.509,3,5,3.323,0.941,2.68E-05,8.89E-06
Cr,283.563,2,2,12,10,5.92,1.549,1.72E-05,1.61E-05
Cr,276.6531,2,2.223,8,10,6.03,1.549,1.02E-05,9.61E-06
Cr,205.5596,2,2.089,8,6,6.03,0,9.59E-06,9.03E-06
Cr,267.7159,2,2.131,10,10,6.18,1.549,9.06E-06,8.61E-06
Cr,540.979,1,0.062,7,9,3.321,1.03,7.67E-06,2.53E-06
Cr,206.1575,2,2.01,6,6,6.013,0,7.17E-06,6.74E-06
Cr,286.5102,2,1.187,6,6,5.833,1.506,6.09E-06,5.65E-06
Cr,302.156,1,2.91,11,9,5.132,1.03,6.01E-06,4.99E-06
Cr,284.984,2,0.92,8,6,5.855,1.506,6.01E-06,5.59E-06
Cr,285.567,2,1.162,6,4,5.833,1.492,5.96E-06,5.53E-06
Cr,276.2589,2,1.626,6,8,6.013,1.526,5.80E-06,5.45E-06
Cr,301.7572,1,3.022,9,7,5.112,1.004,5.34E-06,4.41E-06
Cr,435.177,1,0.12,11,9,3.878,1.03,4.97E-06,2.50E-06
Cr,284.325,2,0.64,10,8,5.885,1.525,4.92E-06,4.59E-06
Cr,206.5501,2,1.971,4,6,6.001,0,4.80E-06,4.51E-06
Cr,267.7161,2,1.269,8,8,6.156,1.526,4.53E-06,4.30E-06
Cr,534.581,1,0.049,5,7,3.322,1.004,4.32E-06,1.43E-06
Cr,286.674,2,1.2,4,4,5.816,1.492,4.25E-06,3.94E-06
Cr,286.257,2,0.63,8,8,5.855,1.525,4.12E-06,3.83E-06
Cr,285.8909,2,0.5194,10,10,5.885,1.549,3.99E-06,3.72E-06
Cr,434.451,1,0.11,9,7,3.857,1.004,3.95E-06,1.96E-06
Cr,464.617,1,0.087,7,9,3.698,1.03,3.73E-06,1.66E-06
Cr,301.4913,1,2.59,7,5,5.094,0.983,3.70E-06,3.04E-06
Cr,336.8041,2,1.383,6,8,6.163,2.483,3.65E-06,3.46E-06
Cr,275.0727,2,0.8726,6,6,6.013,1.506,3.11E-06,2.93E-06
Cr,342.2732,2,1.39,4,6,6.076,2.455,2.91E-06,2.75E-06
Cr,529.827,1,0.033,5,5,3.322,0.983,2.91E-06,9.61E-07
Cr,340.8757,2,0.9562,6,8,6.119,2.483,2.75E-06,2.61E-06
Cr,274.898,2,1.093,4,4,6.001,1.492,2.66E-06,2.50E-06
Cr,266.3422,2,0.5861,10,8,6.18,1.526,2.49E-06,2.37E-06
Cr,314.722,2,1.177,8,8,6.421,2.483,2.48E-06,2.38E-06
Cr,286.093,2,0.69,4,2,5.816,1.483,2.44E-06,2.26E-06
Cr,312.037,2,1.5,6,4,6.406,2.434,2.44E-06,2.34E-06
Cr,275.772,2,0.9811,4,6,6.001,1.506,2.39E-06,2.24E-06
Cr,275.1864,2,0.4926,8,8,6.03,1.526,2.26E-06,2.13E-06
Cr,301.476,1,2.145,5,3,5.08,0.968,2.26E-06,1.85E-06
Cr,298.6467,1,1.463,9,9,5.181,1.03,2.23E-06,1.87E-06
Cr,526.415,1,0.041,3,3,3.323,0.968,2.16E-06,7.16E-07
Cr,266.602,2,0.59,8,6,6.155,1.506,2.11E-06,2.00E-06
Cr,534.832,1,0.017,7,7,3.321,1.004,2.10E-06,6.95E-07
Cr,313.2053,2,0.8151,10,8,6.441,2.483,2.06E-06,1.99E-06
Cr,433.945,1,0.0692,7,5,3.839,0.983,2.02E-06,9.92E-07
Cr,335.8491,2,1.095,4,6,6.146,2.455,1.99E-06,1.89E-06
Cr,286.765,2,1.1,2,2,5.805,1.483,1.99E-06,1.84E-06
Cr,465.216,1,0.058,5,7,3.668,1.004,1.93E-06,8.39E-07
Cr,342.1202,2,1.716,2,2,6.045,2.421,1.91E-06,1.80E-06
Cr,311.865,2,1.7,4,2,6.396,2.421,1.88E-06,1.81E-06
Cr,267.181,2,1,4,6,6.145,1.506,1.82E-06,1.73E-06
Cr,318.0693,2,0.706,10,12,6.441,2.543,1.79E-06,1.72E-06
Cr,312.4973,2,0.8186,8,6,6.421,2.455,1.72E-06,1.66E-06
Cr,529.669,1,0.031,3,5,3.323,0.983,1.64E-06,5.41E-07
Cr,269.104,2,0.4549,8,10,6.156,1.549,1.62E-06,1.54E-06
Cr,303.024,1,1.1,7,7,5.094,1.004,1.57E-06,1.29E-06
Cr,274.3641,2,0.6312,4,2,6.001,1.483,1.54E-06,1.44E-06
Cr,287.5987,2,1.507,8,8,6.793,2.483,1.53E-06,1.49E-06
Cr,300.089,1,1.6,5,7,5.134,1.004,1.50E-06,1.24E-06
Cr,267.8789,2,0.5186,6,4,6.119,1.492,1.49E-06,1.41E-06
Cr,267.283,2,0.55,6,8,6.163,1.525,1.45E-06,1.38E-06
Cr,343.3295,2,1.292,2,4,6.045,2.434,1.44E-06,1.36E-06
Cr,449.686,1,0.033,7,5,3.698,0.941,1.41E-06,6.29E-07
Cr,391.916,1,0.092,9,9,4.193,1.03,1.39E-06,8.34E-07
Cr,302.5404,1,1.307,5,5,5.08,0.983,1.38E-06,1.13E-06
Cr,461.614,1,0.041,5,5,3.668,0.983,1.36E-06,5.93E-07
Cr,302.435,1,1.27,5,5,5.081,0.983,1.33E-06,1.09E-06
Cr,336.0291,2,1.312,8,8,6.793,3.104,1.33E-06,1.29E-06
Cr,338.2675,2,0.4542,6,6,6.119,2.455,1.31E-06,1.24E-06
Cr,266.871,2,1.4,2,4,6.136,1.492,1.30E-06,1.23E-06
Cr,319.7075,2,0.6029,8,10,6.421,2.544,1.27E-06,1.22E-06
Cr,437.128,1,0.041,7,7,3.839,1.004,1.20E-06,5.88E-07
Cr,433.757,1,0.0548,5,3,3.826,0.968,1.19E-06,5.76E-07
Cr,435.963,1,0.054,5,5,3.826,0.983,1.17E-06,5.68E-07
Cr,396.369,1,1.3,15,13,5.671,2.544,1.17E-06,1.05E-06
Cr,299.658,1,2,3,5,5.119,0.983,1.16E-06,9.59E-07
Cr,305.388,1,0.797,7,9,5.089,1.03,1.15E-06,9.47E-07
Cr,300.506,1,0.92,7,9,5.155,1.03,1.15E-06,9.60E-07
Cr,287.6245,2,0.3163,4,6,5.816,1.506,1.12E-06,1.04E-06
Cr,320.9176,2,0.6807,6,8,6.407,2.544,1.11E-06,1.06E-06
Cr,460.075,1,0.025,7,7,3.698,1.004,1.07E-06,4.77E-07
Cr,265.859,2,0.58,4,2,6.145,1.483,1.06E-06,1.00E-06
Cr,269.8683,2,0.5052,4,2,6.076,1.483,1.06E-06,9.98E-07
Cr,462.619,1,0.05,3,3,3.648,0.968,1.05E-06,4.52E-07
Cr,301.519,1,1.63,3,1,5.072,0.961,1.05E-06,8.59E-07
Cr,313.668,2,0.64,6,6,6.406,2.455,1.04E-06,1.00E-06
Cr,287.044,2,1.3,6,6,6.773,2.455,1.03E-06,1.00E-06
Cr,287.3479,2,0.5663,2,4,5.806,1.492,1.02E-06,9.47E-07
Cr,334.2576,2,0.3869,6,6,6.163,2.455,1.02E-06,9.68E-07
Cr,532.834,1,0.62,11,9,5.24,2.913,1.01E-06,8.60E-07
Cr,524.756,1,0.019,3,1,3.323,0.961,1.00E-06,3.32E-07
Cr,438.498,1,0.027,9,9,3.857,1.03,9.69E-07,4.81E-07
Cr,302.067,1,1.5,3,3,5.072,0.968,9.64E-07,7.90E-07
Cr,303.704,1,0.54,9,9,5.111,1.03,9.55E-07,7.89E-07
Cr,298.5997,1,0.7631,7,7,5.155,1.004,9.54E-07,7.96E-07
Cr,396.975,1,1.2,13,11,5.667,2.545,9.42E-07,8.50E-07
Cr,268.7087,2,0.326,6,6,6.119,1.506,9.38E-07,8.88E-07
Cr,265.359,2,0.35,6,4,6.163,1.492,9.23E-07,8.76E-07
Cr,333.9786,2,0.4947,4,4,6.146,2.434,9.00E-07,8.54E-07
Cr,312.87,2,0.81,4,4,6.396,2.434,8.97E-07,8.61E-07
Cr,454.596,1,0.027,5,5,3.668,0.941,8.96E-07,3.91E-07
Cr,297.111,1,0.71,7,5,5.155,0.983,8.89E-07,7.41E-07
Cr,340.3307,2,0.4188,4,4,6.076,2.434,8.76E-07,8.27E-07
Cr,301.371,1,0.83,5,3,5.081,0.968,8.71E-07,7.15E-07
Cr,278.07,1,1.4,7,9,5.487,1.03,8.60E-07,7.59E-07
Cr,321.7393,2,0.7706,4,6,6.396,2.543,8.52E-07,8.18E-07
Cr,297.548,1,0.89,5,3,5.134,0.968,8.32E-07,6.91E-07
Cr,397.6665,1,1.204,11,9,5.662,2.545,8.08E-07,7.29E-07
Cr,287.7973,2,0.1572,6,8,5.833,1.526,8.07E-07,7.48E-07
Cr,274.2032,2,0.2252,6,4,6.013,1.492,8.03E-07,7.55E-07
Cr,304.085,1,0.74,5,7,5.08,1.004,7.79E-07,6.39E-07
Cr,390.876,1,0.062,7,7,4.175,1.004,7.60E-07,4.53E-07
Cr,465.128,1,0.036,3,5,3.648,0.983,7.58E-07,3.25E-07
Cr,298.865,1,0.52,7,5,5.089,0.941,7.51E-07,6.18E-07
Cr,526.572,1,0.0085,5,3,3.322,0.968,7.49E-07,2.48E-07
Cr,288.929,1,0.66,9,9,5.32,1.03,7.44E-07,6.40E-07
Cr,266.1721,2,0.2757,6,6,6.163,1.506,7.27E-07,6.90E-07
Cr,746.2364,1,0.156,7,9,4.575,2.914,7.23E-07,5.13E-07
Cr,363.98,1,1.8,11,13,5.949,2.544,6.70E-07,6.21E-07
Cr,740.021,1,0.135,7,7,4.574,2.9,6.26E-07,4.44E-07
Cr,286.71,2,1.1,4,4,6.757,2.434,5.98E-07,5.81E-07
Cr,296.764,1,0.39,9,7,5.18,1.004,5.94E-07,4.97E-07
Cr,299.189,1,3,1,3,5.111,0.968,5.90E-07,4.87E-07
Cr,433.972,1,0.044,3,1,3.817,0.961,5.85E-07,2.83E-07
Cr,398.391,1,1.05,9,7,5.656,2.544,5.84E-07,5.27E-07
Cr,303.976,1,0.5473,5,7,5.082,1.004,5.74E-07,4.71E-07
Cr,435.105,1,0.0418,3,3,3.817,0.968,5.56E-07,2.69E-07
Cr,529.736,1,0.388,9,7,5.239,2.9,5.20E-07,4.41E-07
Cr,303.419,1,0.35,7,7,5.089,1.004,5.06E-07,4.16E-07
Cr,458.006,1,0.024,3,5,3.648,0.941,5.05E-07,2.17E-07
