wavelength,element_symbol,ionization_level,relative_intensity,concentration,units
462.983,Zn,1,0.15160245271288997,1.5,g
462.983,Zn,1,0.10979015678515563,1.5,g
693.801,Zn,1,0.07696525225079807,1.5,g
693.801,Zn,1,0.12487137899635983,1.5,g
693.801,Zn,1,0.11928457988631715,1.5,g
693.801,Zn,1,0.08762734535533506,1.5,g
780.001,Zn,1,0.11167390676335558,1.5,g
780.001,Zn,1,0.18093968912137326,1.5,g
780.001,Zn,1,0.17173417705396982,1.5,g
780.001,Zn,1,0.13085585432570399,1.5,g
256.789,Zn,1,0.08459523581920422,1.5,g
256.789,Zn,1,0.13093382378523388,1.5,g
256.789,Zn,1,0.12911512148787718,1.5,g
256.789,Zn,1,0.09684054361924269,1.5,g
280.209,Zn,1,0.2693420915883066,1.5,g
280.209,Zn,1,0.38835761208338815,1.5,g
280.209,Zn,1,0.3895455159846274,1.5,g
280.209,Zn,1,0.30804673985695497,1.5,g
255.731,Zn,1,0.08597011746330366,1.5,g
255.731,Zn,1,0.134187287234645,1.5,g
255.731,Zn,1,0.1316731012098519,1.5,g
255.731,Zn,1,0.09831547753476935,1.5,g
267.141,Zn,1,0.0682028553638651,1.5,g
267.141,Zn,1,0.1071317792496817,1.5,g
267.141,Zn,1,0.10765368922728133,1.5,g
267.141,Zn,1,0.08002279981531361,1.5,g
254.25,Zn,1,0.08653547689313812,1.5,g
254.25,Zn,1,0.13501902417961922,1.5,g
254.25,Zn,1,0.13061982248085235,1.5,g
254.25,Zn,1,0.09849383751081861,1.5,g
249.381,Zn,1,0.08749645336345487,1.5,g
249.381,Zn,1,0.135573957168272,1.5,g
249.381,Zn,1,0.13349014342916882,1.5,g
249.381,Zn,1,0.10001144562270445,1.5,g
694.354,Zn,1,0.07518684515050376,1.5,g
694.354,Zn,1,0.11923361758832951,1.5,g
694.354,Zn,1,0.1173189389364708,1.5,g
694.354,Zn,1,0.08741479119678403,1.5,g
250.229,Zn,1,0.08663697049492322,1.5,g
250.229,Zn,1,0.1347194747316683,1.5,g
250.229,Zn,1,0.1325281673101829,1.5,g
250.229,Zn,1,0.09978236147566485,1.5,g
577.134,Zn,1,0.07964829280619254,1.5,g
577.134,Zn,1,0.12845896023225062,1.5,g
577.134,Zn,1,0.1253532739210576,1.5,g
577.134,Zn,1,0.09171201892018056,1.5,g
429.223,Zn,1,0.15175621383368262,1.5,g
429.223,Zn,1,0.22333686012964057,1.5,g
429.223,Zn,1,0.23798438574889608,1.5,g
429.223,Zn,1,0.16796746743638538,1.5,g
429.832,Zn,1,0.18063466916237608,1.5,g
429.832,Zn,1,0.25445003163258373,1.5,g
429.832,Zn,1,0.2674588290383323,1.5,g
429.832,Zn,1,0.1985609335924094,1.5,g
247.051,Zn,1,0.08627670836580593,1.5,g
247.051,Zn,1,0.1341888876509052,1.5,g
247.051,Zn,1,0.13161667566748012,1.5,g
247.051,Zn,1,0.09807957780117885,1.5,g
210.06,Zn,1,0.07300696310276618,1.5,g
210.06,Zn,1,0.11388205402352064,1.5,g
210.06,Zn,1,0.11167314672678376,1.5,g
210.06,Zn,1,0.08552498317244908,1.5,g
577.522,Zn,1,0.08051532575273672,1.5,g
577.522,Zn,1,0.13124179157199628,1.5,g
577.522,Zn,1,0.1276131665070591,1.5,g
577.522,Zn,1,0.09379651310686422,1.5,g
647.977,Zn,1,0.354900066438946,1.5,g
647.977,Zn,1,0.566230908888802,1.5,g
647.977,Zn,1,0.5707003948032048,1.5,g
647.977,Zn,1,0.4033917311333919,1.5,g
252.98,Zn,1,0.08701385871127419,1.5,g
252.98,Zn,1,0.1346803047969888,1.5,g
252.98,Zn,1,0.1312008413314855,1.5,g
252.98,Zn,1,0.09936932021341663,1.5,g
884.386,Zn,1,0.07486951297924913,1.5,g
884.386,Zn,1,0.11547936429699232,1.5,g
884.386,Zn,1,0.11121984329022251,1.5,g
884.386,Zn,1,0.08597237892616842,1.5,g
179.48,Zn,1,0.07169942093851794,1.5,g
179.48,Zn,1,0.11023400828408383,1.5,g
179.48,Zn,1,0.10905462010338382,1.5,g
179.48,Zn,1,0.08278010491445915,1.5,g
884.386,Zn,1,0.07486951297924913,1.5,g
884.386,Zn,1,0.11547936429699232,1.5,g
884.386,Zn,1,0.11121984329022251,1.5,g
884.386,Zn,1,0.08597237892616842,1.5,g
396.578,Zn,1,0.7674145256844217,1.5,g
396.578,Zn,1,0.7886893732694117,1.5,g
396.578,Zn,1,0.8003698612924846,1.5,g
396.578,Zn,1,0.770180791063849,1.5,g
245.78,Zn,1,0.08577303771001929,1.5,g
245.78,Zn,1,0.13480723027167632,1.5,g
245.78,Zn,1,0.1326351739814542,1.5,g
245.78,Zn,1,0.09806507475794406,1.5,g
857.95,Zn,1,0.0736047028748171,1.5,g
857.95,Zn,1,0.11330374353909331,1.5,g
857.95,Zn,1,0.11366449460150584,1.5,g
857.95,Zn,1,0.08478673870253113,1.5,g
577.715,Zn,1,0.07860046047426485,1.5,g
577.715,Zn,1,0.12910527531154448,1.5,g
577.715,Zn,1,0.12784908705745202,1.5,g
577.715,Zn,1,0.093125775284271,1.5,g
379.943,Zn,1,0.07755435422014645,1.5,g
379.943,Zn,1,0.12988492097423868,1.5,g
379.943,Zn,1,0.12821679458842827,1.5,g
379.943,Zn,1,0.09349818773313685,1.5,g
853.749,Zn,1,0.07346217753130749,1.5,g
853.749,Zn,1,0.11368626922302366,1.5,g
853.749,Zn,1,0.113722534834641,1.5,g
853.749,Zn,1,0.08498942441110166,1.5,g
884.386,Zn,1,0.07486951297924913,1.5,g
884.386,Zn,1,0.11547936429699232,1.5,g
884.386,Zn,1,0.11121984329022251,1.5,g
884.386,Zn,1,0.08597237892616842,1.5,g
884.386,Zn,1,0.07486951297924913,1.5,g
884.386,Zn,1,0.11547936429699232,1.5,g
884.386,Zn,1,0.11121984329022251,1.5,g
884.386,Zn,1,0.08597237892616842,1.5,g
210.274,Zn,1,0.07317856233682057,1.5,g
210.274,Zn,1,0.11435095742498888,1.5,g
210.274,Zn,1,0.1124338706168567,1.5,g
210.274,Zn,1,0.08590407810313808,1.5,g
851.896,Zn,1,0.07445313560184649,1.5,g
851.896,Zn,1,0.11623301409382565,1.5,g
851.896,Zn,1,0.11497269534100317,1.5,g
851.896,Zn,1,0.08536635366416716,1.5,g
298.069,Zn,1,0.07596302611900263,1.5,g
298.069,Zn,1,0.11919861198627286,1.5,g
298.069,Zn,1,0.11686346494455603,1.5,g
298.069,Zn,1,0.0869608392344995,1.5,g
669.331,Zn,1,0.2074510882627446,1.5,g
669.331,Zn,1,0.3367471160177828,1.5,g
669.331,Zn,1,0.3292486954493046,1.5,g
669.331,Zn,1,0.23598293952099153,1.5,g
813.33,Zn,1,0.07347804049651159,1.5,g
813.33,Zn,1,0.11358433742866401,1.5,g
813.33,Zn,1,0.11205112919209052,1.5,g
813.33,Zn,1,0.08496510075321503,1.5,g
534.989,Zn,1,0.10437841494816981,1.5,g
534.989,Zn,1,0.15940122994393158,1.5,g
534.989,Zn,1,0.1683582377245655,1.5,g
534.989,Zn,1,0.12136915733015112,1.5,g
266.507,Zn,1,0.06763658843382642,1.5,g
266.507,Zn,1,0.1029408444325862,1.5,g
266.507,Zn,1,0.10357886372010855,1.5,g
266.507,Zn,1,0.07891493766777695,1.5,g
569.766,Zn,1,0.07047775103617723,1.5,g
569.766,Zn,1,0.10901070462373073,1.5,g
569.766,Zn,1,0.10330949670783413,1.5,g
569.766,Zn,1,0.08339806856305958,1.5,g
658.117,Zn,1,0.4936373801444994,1.5,g
658.117,Zn,1,0.7211682294769173,1.5,g
658.117,Zn,1,0.7203333316615501,1.5,g
658.117,Zn,1,0.5565418992465407,1.5,g
434.703,Zn,1,0.09394292213938248,1.5,g
434.703,Zn,1,0.14794267689816476,1.5,g
434.703,Zn,1,0.14390583411837768,1.5,g
434.703,Zn,1,0.11002889956009676,1.5,g
253.404,Zn,1,0.08722708553862413,1.5,g
253.404,Zn,1,0.13553099138962604,1.5,g
253.404,Zn,1,0.13118955143771519,1.5,g
253.404,Zn,1,0.09924459674701469,1.5,g
884.386,Zn,1,0.07486951297924913,1.5,g
884.386,Zn,1,0.11547936429699232,1.5,g
884.386,Zn,1,0.11121984329022251,1.5,g
884.386,Zn,1,0.08597237892616842,1.5,g
246.416,Zn,1,0.08599891468133182,1.5,g
246.416,Zn,1,0.13596518733534724,1.5,g
246.416,Zn,1,0.13314116096735834,1.5,g
246.416,Zn,1,0.09759941314887777,1.5,g
398.626,Zn,1,0.5064433222759276,1.5,g
398.626,Zn,1,0.5649596698988023,1.5,g
398.626,Zn,1,0.5811932289362854,1.5,g
398.626,Zn,1,0.5243120956262589,1.5,g
848.185,Zn,1,0.07361436998932115,1.5,g
848.185,Zn,1,0.11524576669890398,1.5,g
848.185,Zn,1,0.11393133885322797,1.5,g
848.185,Zn,1,0.08535490778889553,1.5,g
884.386,Zn,1,0.07486951297924913,1.5,g
884.386,Zn,1,0.11547936429699232,1.5,g
884.386,Zn,1,0.11121984329022251,1.5,g
884.386,Zn,1,0.08597237892616842,1.5,g
380.972,Zn,1,0.06777698125450989,1.5,g
380.972,Zn,1,0.10845866181381478,1.5,g
380.972,Zn,1,0.10785451873442124,1.5,g
380.972,Zn,1,0.07681112579694407,1.5,g
213.898,Zn,1,0.11529505889005483,1.5,au
213.898,Zn,1,0.10198939073641075,1.5,au
