Wavelength	Intensity
178.168610	50.240359
178.386076	0.000000
178.603534	0.000000
178.820983	0.000000
179.038423	0.000000
179.255854	0.000000
179.473276	2.817645
179.690689	0.000000
179.908093	88.716257
180.125489	0.000000
180.342875	18.305184
180.560253	7.150233
180.777622	34.833803
180.994982	47.838765
181.212333	13.897912
181.429675	0.000000
181.647008	0.000000
181.864332	24.702836
182.081647	0.000000
182.298954	0.000000
182.516251	0.000000
182.733540	0.000000
182.950819	75.669004
183.168090	0.000000
183.385352	0.000000
183.602605	0.000000
183.819849	54.943669
184.037084	0.000000
184.254310	0.000000
184.471527	7.789998
184.688735	0.380058
184.905934	4.841319
185.123124	49.787754
185.340306	58.109202
185.557478	69.960606
185.774641	6.194634
185.991796	74.248203
186.208941	0.000000
186.426078	0.000000
186.643205	187.409275
186.860324	28.006041
187.077434	57.735781
187.294534	69.812138
187.511626	0.429548
187.728709	0.000000
187.945782	24.556167
188.162847	0.000000
188.379903	92.635831
188.596950	0.000000
188.813987	0.000000
189.031016	119.721928
189.248036	0.000000
189.465047	0.000000
189.682048	65.239301
189.899041	0.000000
190.116025	64.582439
190.333000	0.000000
190.549965	71.257233
190.766922	0.000000
190.983870	56.946647
191.200808	38.637302
191.417738	109.634152
191.634659	79.406817
191.851570	22.277847
192.068473	100.303117
192.285367	18.477947
192.502251	29.710282
192.719127	115.496418
192.935993	21.697469
193.152850	12.365534
193.369699	0.000000
193.586538	0.000000
193.803368	0.000000
194.020190	0.000000
194.237002	5.818513
194.453805	56.965543
194.670599	0.000000
194.887384	0.000000
195.104160	33.849410
195.320927	0.000000
195.537684	0.000000
195.754433	0.000000
195.971173	15.076663
196.187903	14.395507
196.404625	0.000000
196.621337	0.000000
196.838040	81.960479
197.054735	28.201300
197.271420	24.409498
197.488096	44.324105
197.704763	0.000000
197.921421	71.869104
198.138069	0.000000
198.354709	0.000000
198.571340	5.912093
198.787961	0.000000
199.004573	30.015318
199.221177	42.338223
199.437771	22.156373
199.654356	28.811371
199.870931	11.324454
200.087498	95.676291
200.304056	0.000000
200.520604	0.000000
200.737144	0.000000
200.953674	23.116471
201.170195	120.440876
201.386707	54.881582
201.603210	0.000000
201.819703	1.973623
202.036188	0.000000
202.252663	0.000000
202.469130	0.000000
202.685587	9.112719
202.902035	0.000000
203.118473	0.000000
203.334903	0.000000
203.551323	20.860646
203.767735	35.954067
203.984137	58.561807
204.200530	37.398263
204.416913	11.670881
204.633288	142.909145
204.849653	0.000000
205.066010	58.080408
205.282357	12.160378
205.498695	20.256873
205.715023	6.499670
205.931343	4.637062
206.147653	0.000000
206.363954	0.000000
206.580246	5.566566
206.796529	0.000000
207.012802	0.000000
207.229067	14.204747
207.445322	12.401527
207.661568	0.000000
207.877804	14.048180
208.094032	36.911466
208.310250	8.224606
208.526459	25.334503
208.742659	19.316571
208.958849	6.536562
209.175031	6.570755
209.391203	0.000000
209.607366	0.000000
209.823519	48.952730
210.039664	0.000000
210.255799	0.000000
210.471925	0.000000
210.688041	69.141779
210.904149	25.770012
211.120247	0.000000
211.336336	24.642549
211.552416	47.049631
211.768486	0.000000
211.984547	65.067437
212.200599	70.658859
212.416642	37.616017
212.632675	35.907277
212.848699	65.907860
213.064714	0.000000
213.280719	0.000000
213.496716	15.464482
213.712703	0.000000
213.928680	15.014577
214.144649	0.000000
214.360608	3.182068
214.576558	22.385824
214.792498	0.000000
215.008429	24.910693
215.224351	51.115875
215.440264	88.410321
215.656167	19.567618
215.872061	0.000000
216.087946	73.904476
216.303821	82.728018
216.519687	0.000000
216.735544	0.000000
216.951392	31.850031
217.167230	0.168603
217.383059	24.716334
217.598878	3.838930
217.814688	43.229935
218.030489	27.125126
218.246280	0.000000
218.462063	13.987893
218.677835	16.274311
218.893599	0.000000
219.109353	0.000000
219.325098	53.663238
219.540833	17.091339
219.756559	46.994742
219.972276	0.000000
220.187983	51.682755
220.403681	0.000000
220.619370	0.000000
220.835049	26.443970
221.050719	68.169983
221.266380	13.018797
221.482031	0.000000
221.697673	0.699491
221.913305	55.832681
222.128928	14.147159
222.344542	0.000000
222.560146	0.000000
222.775741	0.000000
222.991327	17.133630
223.206903	0.000000
223.422469	0.000000
223.638027	0.000000
223.853575	0.000000
224.069113	0.000000
224.284642	0.000000
224.500162	0.000000
224.715672	4.582173
224.931173	0.000000
225.146665	2.501811
225.362147	10.943834
225.577619	0.000000
225.793083	8.009552
226.008536	30.065707
226.223981	0.000000
226.439416	80.784427
226.654841	0.000000
226.870257	0.000000
227.085664	20.695980
227.301061	92.499960
227.516449	0.000000
227.731827	2.499112
227.947196	2.349743
228.162556	0.000000
228.377905	0.000000
228.593246	82.857591
228.808577	0.000000
229.023899	0.000000
229.239211	31.776247
229.454513	63.194931
229.669807	0.000000
229.885090	68.192479
230.100365	0.000000
230.315629	0.000000
230.530885	0.000000
230.746130	0.000000
230.961367	0.000000
231.176594	0.000000
231.391811	61.773230
231.607019	40.714965
231.822217	0.000000
232.037406	93.854175
232.252586	10.897044
232.467755	0.000000
232.682916	0.000000
232.898067	99.860410
233.113208	61.069579
233.328340	0.000000
233.543462	36.594732
233.758575	28.189602
233.973679	0.000000
234.188772	0.000000
234.403857	0.000000
234.618931	0.000000
234.833997	115.331752
235.049052	0.000000
235.264098	42.297731
235.479135	32.460103
235.694162	0.000000
235.909180	14.011288
236.124188	69.367631
236.339186	54.866285
236.554175	0.000000
236.769154	49.188480
236.984124	9.276485
237.199085	49.322552
237.414035	0.000000
237.628976	105.175591
237.843908	0.000000
238.058830	14.278532
238.273742	0.000000
238.488645	101.567351
238.703539	0.000000
238.918422	65.284291
239.133296	0.000000
239.348161	17.272201
239.563016	0.000000
239.777861	0.000000
239.992697	0.000000
240.207523	0.000000
240.422340	0.000000
240.637147	0.000000
240.851944	0.000000
241.066732	59.831439
241.281511	0.000000
241.496279	0.000000
241.711038	14.453095
241.925788	4.481395
242.140527	27.790986
242.355258	0.000000
242.569978	108.712746
242.784689	0.000000
242.999390	0.539325
243.214082	0.000000
243.428764	83.036653
243.643437	64.134333
243.858099	89.464899
244.072752	23.227147
244.287396	0.000000
244.502030	26.152431
244.716654	0.000000
244.931269	0.000000
245.145874	131.973748
245.360469	155.052988
245.575055	0.000000
245.789631	0.000000
246.004197	0.000000
246.218753	96.173886
246.433300	0.000000
246.647838	58.692279
246.862365	0.000000
247.076883	0.000000
247.291392	9.998133
247.505890	91.396792
247.720379	0.000000
247.934859	95.284874
248.149328	0.000000
248.363788	0.000000
248.578238	0.000000
248.792679	42.243743
249.007110	28.006941
249.221531	7.924969
249.435942	0.000000
249.650344	51.854619
249.864736	11.988514
250.079118	53.858497
250.293491	0.000000
250.507854	0.000000
250.722207	43.770721
250.936551	3.911815
251.150884	26.232514
251.365208	0.000000
251.579523	0.000000
251.793827	0.000000
252.008122	0.000000
252.222407	62.573162
252.436683	0.000000
252.650948	55.616727
252.865204	40.551199
253.079450	56.148515
253.293687	51.402014
253.507914	0.000000
253.722131	0.000000
253.936338	0.000000
254.150535	0.000000
254.364723	0.000000
254.578901	0.000000
254.793069	54.471268
255.007227	37.544932
255.221376	0.000000
255.435515	129.772811
255.649644	37.427057
255.863763	0.000000
256.077873	21.139587
256.291972	87.735463
256.506062	0.000000
256.720142	0.000000
256.934213	53.016274
257.148273	66.529629
257.362324	0.000000
257.576365	0.000000
257.790397	0.000000
258.004418	120.399485
258.218430	132.222096
258.432431	15.799211
258.646423	43.061671
258.860406	37.831972
259.074378	2.084299
259.288341	0.000000
259.502293	60.303840
259.716236	14.269533
259.930169	55.591532
260.144093	0.000000
260.358006	38.965733
260.571910	0.000000
260.785804	6.924380
260.999687	104.884052
261.213562	10.263577
261.427426	81.310816
261.641280	0.000000
261.855125	27.781088
262.068960	0.000000
262.282785	53.154845
262.496600	2.639482
262.710405	0.000000
262.924200	5.725833
263.137986	53.569658
263.351761	0.000000
263.565527	0.000000
263.779283	0.154206
263.993029	21.946717
264.206765	0.000000
264.420491	35.602241
264.634208	1.827853
264.847914	56.620016
265.061611	0.000000
265.275298	40.472916
265.488974	0.000000
265.702641	0.000000
265.916298	72.737422
266.129946	0.000000
266.343583	0.000000
266.557210	0.208194
266.770828	45.838486
266.984435	66.487338
267.198033	0.000000
267.411621	64.789395
267.625198	86.347956
267.838766	58.634691
268.052324	0.000000
268.265872	0.000000
268.479411	34.903089
268.692939	0.000000
268.906457	0.000000
269.119966	75.652808
269.333464	53.822505
269.546952	125.220670
269.760431	0.000000
269.973900	65.407565
270.187358	139.913676
270.400807	63.478371
270.614246	14.671749
270.827675	26.925368
271.041094	4.440903
271.254502	22.036698
271.467901	34.745622
271.681290	161.909544
271.894670	132.008841
272.108039	25.050163
272.321398	37.923752
272.534747	28.203999
272.748086	20.042718
272.961415	5.721333
273.174734	108.289835
273.388044	101.842693
273.601343	189.863958
273.814632	81.056170
274.027911	78.915521
274.241181	88.503902
274.454440	189.274582
274.667689	89.959795
274.880929	153.647484
275.094158	0.000000
275.307377	5.541371
275.520586	51.011497
275.733786	55.538443
275.946975	15.486077
276.160154	144.370438
276.373323	170.270584
276.586483	210.511910
276.799632	164.861823
277.012771	252.459277
277.225900	258.517701
277.439019	263.427067
277.652128	371.494311
277.865227	834.201177
278.078316	1594.056970
278.291395	3336.723609
278.504464	4138.460184
278.717523	6200.830401
278.930572	6798.076937
279.143611	6778.681521
279.356640	6323.182137
279.569658	5518.534676
279.782667	4315.171273
279.995666	3223.478856
280.208654	1544.579089
280.421632	744.084253
280.634601	392.791926
280.847559	433.054848
281.060507	158.765606
281.273446	248.431725
281.486374	234.940866
281.699292	390.782649
281.912200	282.794589
282.125097	435.582416
282.337985	352.114192
282.550863	593.610739
282.763730	688.582140
282.976588	833.118705
283.189435	849.497056
283.402273	1037.604245
283.615100	747.976833
283.827917	1018.836897
284.040724	835.207165
284.253521	1026.650852
284.466308	744.578249
284.679084	840.407170
284.891851	737.491341
285.104607	697.834892
285.317353	476.064891
285.530090	624.400455
285.742816	312.963436
285.955531	524.420709
286.168237	334.509399
286.380933	459.191644
286.593618	434.121123
286.806294	611.265921
287.018959	578.949226
287.231614	855.868614
287.444259	513.198272
287.656894	667.908094
287.869518	553.535878
288.082133	649.659936
288.294737	410.520893
288.507331	734.351902
288.719915	683.650279
288.932489	634.957932
289.145053	505.562480
289.357606	771.670644
289.570149	455.955026
289.782683	708.726199
289.995206	474.488423
290.207718	560.686672
290.420221	612.097346
290.632713	921.472900
290.845196	792.350090
291.057668	807.060192
291.270129	676.351916
291.482581	932.149151
291.695023	650.489562
291.907454	1101.841718
292.119875	1031.604309
292.332286	1299.756843
292.544686	694.906009
292.757077	1046.898388
292.969457	856.218640
293.181827	1214.143471
293.394187	1019.329993
293.606536	1077.427160
293.818876	1256.853877
294.031205	1252.538386
294.243524	1103.288614
294.455832	1230.069217
294.668131	1060.705981
294.880419	1437.690597
295.092697	1310.282826
295.304965	1899.846779
295.517222	1283.568351
295.729469	1690.235018
295.941706	1457.577310
296.153933	1620.649071
296.366149	1394.060585
296.578356	1680.207529
296.790552	1948.872055
297.002737	1993.100442
297.214913	2038.729834
297.427078	2503.107648
297.639233	1880.606131
297.851377	2479.241073
298.063512	1952.066383
298.275636	1914.578477
298.487750	2122.746942
298.699853	2163.243814
298.911946	1869.051664
299.124029	2520.118566
299.336102	2139.756060
299.548164	2528.975401
299.760217	1859.313014
299.972258	2217.739939
300.184290	2299.444534
300.396311	2040.001266
300.608322	1896.478788
300.820322	2354.502140
301.032313	1984.846480
301.244293	2116.855882
301.456262	2077.318208
301.668222	2265.266131
301.880171	1950.659079
302.092109	2515.673502
302.304038	1852.201812
302.515956	2189.942992
302.727863	1822.557554
302.939761	2227.747631
303.151648	1729.864473
303.363525	2553.352167
303.575391	2070.732495
303.787247	1893.356446
303.999093	1882.908746
304.210928	1759.165903
304.422753	1890.590428
304.634568	1841.105348
304.846372	1766.920470
305.058166	2051.395567
305.269949	1683.908450
305.481723	2131.238454
305.693486	1528.669539
305.905238	1992.372495
306.116980	1696.678561
306.328712	1535.932810
306.540433	1617.929843
306.752144	1879.638834
306.963845	1697.751135
307.175535	1896.336618
307.387215	1908.730608
307.598884	1801.259039
307.810543	1441.209756
308.022192	1792.064775
308.233830	1352.411055
308.445458	1737.467872
308.657076	1563.537197
308.868683	1956.901965
309.080280	1451.927399
309.291866	2123.045679
309.503442	1511.931264
309.715007	1542.058720
309.926562	1650.218644
310.138107	1673.689302
310.349641	1419.528822
310.561165	1754.903500
310.772678	1632.504974
310.984181	1789.323052
311.195674	2106.375789
311.407156	1736.909089
311.618627	1778.639602
311.830089	1909.541338
312.041539	2418.501164
312.252980	2028.763532
312.464410	2336.221590
312.675829	1884.310650
312.887238	2124.894790
313.098637	2577.273630
313.310025	2123.124862
313.521402	2603.748755
313.732769	2113.412308
313.944126	2477.822072
314.155472	2331.393206
314.366808	3052.487862
314.578133	3517.919354
314.789448	4171.135903
315.000753	4789.817725
315.212047	4968.200662
315.423330	4836.642965
315.634603	5097.835464
315.845865	4346.517073
316.057117	4647.513590
316.268359	4317.494584
316.479590	5164.329662
316.690810	5657.147787
316.902020	7115.696554
317.113220	7802.112512
317.324409	8935.419367
317.535587	9012.582618
317.746755	9161.440972
317.957912	7590.962975
318.169059	6414.821540
318.380196	4215.571246
318.591322	3541.351320
318.802437	2110.775863
319.013542	2360.189842
319.224636	1889.413476
319.435720	2008.520495
319.646793	1672.913665
319.857856	2066.708542
320.068908	1684.263875
320.279950	2096.460777
320.490981	1949.194188
320.702002	1908.431871
320.913012	2045.131986
321.124011	1906.206640
321.335000	1708.610049
321.545979	1746.277017
321.756946	1610.482112
321.967904	1669.260435
322.178850	1376.022083
322.389787	1668.214855
322.600712	1838.760442
322.811627	1848.778933
323.022532	1679.973579
323.233426	1752.379532
323.444309	1475.022836
323.655182	2056.046687
323.866044	1539.857783
324.076895	1865.144686
324.287736	1624.969061
324.498567	2071.554022
324.709386	1919.484244
324.920196	2256.202340
325.130994	1816.811364
325.341782	1958.032127
325.552560	2174.911657
325.763327	2391.964851
325.974083	2085.630658
326.184828	2566.450709
326.395563	2103.540486
326.606288	2013.166217
326.817002	2051.913858
327.027705	1944.430591
327.238397	1712.130107
327.449079	2108.138518
327.659750	1926.724119
327.870411	2419.115734
328.081061	1567.721316
328.291700	2009.837818
328.502329	2058.786610
328.712947	1977.811762
328.923555	2014.718390
329.134152	2353.302693
329.344738	1458.627389
329.555313	2107.549142
329.765878	1869.973070
329.976432	2029.468984
330.186976	2025.146294
330.397509	2218.818812
330.608031	2207.033093
330.818543	2384.477528
331.029044	2492.657248
331.239534	2769.381377
331.450013	2493.400492
331.660482	3204.554041
331.870941	3047.168182
332.081388	3675.898188
332.291825	3169.432637
332.502251	3911.788915
332.712667	4206.661323
332.923072	4190.006730
333.133466	4023.857616
333.343849	4255.158410
333.554222	3992.381345
333.764584	4328.890684
333.974935	3521.727352
334.185276	4095.838859
334.395606	4120.505365
334.605925	4259.029395
334.816234	3916.314962
335.026531	4337.525266
335.236818	4139.647034
335.447095	4208.379061
335.657360	3885.470357
335.867615	4584.588041
336.077860	4262.280411
336.288093	4215.917673
336.498316	3960.995054
336.708528	3967.665349
336.918729	3503.874212
337.128919	3312.209171
337.339099	3303.189471
337.549268	3157.952854
337.759427	2866.181194
337.969574	3327.508650
338.179711	2656.855572
338.389837	2758.334403
338.599952	2341.242532
338.810057	2773.376536
339.020150	2342.806403
339.230233	2479.089005
339.440306	2309.245270
339.650367	2573.758970
339.860418	2134.781908
340.070458	2242.897741
340.280487	2195.542513
340.490505	2498.723771
340.700513	2378.111369
340.910510	2576.067884
341.120496	2303.989477
341.330471	2264.905307
341.540435	2232.317769
341.750389	2504.786694
341.960332	1963.814309
342.170264	2297.717797
342.380185	2618.645118
